id,name,artists,year,explicit,mode,acousticness,danceability,energy,duration_ms,instrumentalness,valence,popularity,tempo,liveness,loudness,speechiness,key
0cS0A1fUEUd1EW3FcF8AEI,Keep A Song In Your Soul,['Mamie Smith'],0.0,0,0,0.991,0.598,0.22399999999999998,0.18258287122612446,0.000522,0.634,0.2926829268292683,0.7605782198246797,0.379,0.6760428364054668,0.0936,0.45454545454545453
0hbkKFIJm7Z05H8Zl9w30f,I Put A Spell On You,"[""Screamin' Jay Hawkins""]",0.0,0,0,0.643,0.852,0.517,0.16023783117683302,0.0264,0.95,0.17073170731707318,0.31745195549561694,0.0809,0.8230396318917585,0.0534,0.45454545454545453
11m7laMUgmOKqI3oYzuhne,Golfing Papa,['Mamie Smith'],0.0,0,1,0.993,0.647,0.18600000000000003,0.177030191004313,1.76e-05,0.6890000000000001,0.0975609756097561,0.3926865587772532,0.519,0.6905590096135411,0.174,0.0
19Lc5SfJJ5O1oaxY0fpwfh,True House Music - Xavier Santos & Carlos Gomix Remix,['Oscar Velazquez'],0.0,0,1,0.000173,0.73,0.7979999999999999,0.4952803450400493,0.8009999999999999,0.0422,0.4146341463414634,0.6061966172173523,0.128,0.8216701815891101,0.0425,0.18181818181818182
2hJjbsLCytGsnAHfdsLejp,Xuniverxe,['Mixe'],0.0,1,0,0.295,0.7040000000000001,0.7070000000000001,0.1787516943930992,0.000246,0.299,0.04878048780487805,0.5646072151045178,0.402,0.8565911643066472,0.0768,0.9090909090909091
3HnrHGLE9u2MjHtdobfWl9,Crazy Blues - 78rpm Version,['Mamie Smith & Her Jazz Hounds'],0.0,0,1,0.996,0.424,0.245,0.21991373998767713,0.799,0.47700000000000004,0.21951219512195122,0.43672735446167676,0.235,0.7077593054148065,0.0397,0.45454545454545453
5DlCyqLyX2AOVDTjjkDZ8x,Don't You Advertise Your Man,['Mamie Smith'],0.0,0,1,0.992,0.782,0.0573,0.21569069624152803,1.61e-06,0.48700000000000004,0.12195121951219512,0.30876320521465495,0.17600000000000002,0.6808359124647366,0.0592,0.45454545454545453
02FzJbHtqElixxCmrpSCUa,Arkansas Blues,['Mamie Smith & Her Jazz Hounds'],0.0,0,1,0.996,0.474,0.239,0.20456685150955023,0.18600000000000003,0.366,0.0,0.2605220274218925,0.195,0.7559091780559283,0.0289,0.8181818181818182
02i59gYdjlhBmbbWhf8YuK,La Chacarera - Remasterizado,['Francisco Canaro'],0.0,0,1,0.996,0.469,0.23800000000000002,0.1560973505853358,0.96,0.621,0.0,0.6206872330860868,0.149,0.5092711785489304,0.0741,0.7272727272727273
06NUxS2XL3efRh0bloxkHm,Broken Puppet - Original Mix,['Meetya'],0.0,0,1,0.0068200000000000005,0.5710000000000001,0.753,0.5620911891558842,0.873,0.11900000000000001,0.0,0.5991444706675657,0.092,0.8317493358166033,0.0446,0.7272727272727273
07jrRR1CUUoPb1FLfSy9Jh,Oouin,['Dorville'],0.0,0,0,0.9520000000000001,0.688,0.22,0.16007393715341958,0.0,0.414,0.0,0.28327995055068556,0.262,0.6053792007888034,0.845,0.5454545454545454
0ANuF7SvPeIHanGcCpy9jR,Desengaño - Remasterizado,['Francisco Canaro'],0.0,0,1,0.996,0.579,0.35600000000000004,0.1812027110289587,0.948,0.703,0.0,0.6307597212856821,0.174,0.6227438306263865,0.0394,0.9090909090909091
0BEO6nHi1rmTOPiEZvCIDW,Ta oula sou,['Ka Koula'],0.0,0,1,0.992,0.353,0.396,0.32722119531731364,0.924,0.5660000000000001,0.0,0.48869127893908726,0.312,0.6370135027799841,0.0447,0.09090909090909091
